Become A Seller,Word een Verkoper
Manage Commissions,Beheer Commissies
Add New Commission,Voeg Nieuwe Commissievoorstellen
Save Commission,Commissie Save
Save and Continue Edit,Opslaan en doorgaan bewerken
Delete Commission,Delete Commissie
Edit Commission '%1',Commissie Edit '% 1'
New Commission,nieuwe Commissievoorstellen
Calculate Commission Using The Following Information,Bereken Commissie Met behulp van de volgende informatie
Commission By,In opdracht
Fixed Amount,Vaste hoeveelheid
Percent Of Product Price,Percentage product Price
Calculate Commission Based On,Bereken Commissie op basis van
Product Price (Incl. Tax),Product Prijs (incl. BTW)
Product Price (Excl. Tax),Product Prijs (excl. Belasting)
Product Price After Discount (Incl. Tax),Product Prijs na korting (incl. BTW)
Product Price After Discount (Excl. Tax),Product Prijs na korting (excl. Belasting)
Commission,Commissie
Discard subsequent rules,Weggooien latere regeling
Yes,Ja
No,Nee
Actions,acties
Conditions (don't add conditions if rule is applied to all products),Voorwaarden (niet voorwaarden toe te voegen als regel wordt toegepast op alle producten)
Apply To,Van toepassing op
Conditions,Voorwaarden
Commission Information,Informatie van de Commissie
Title,Titel
Description,Omschrijving
Status,Toestand
From,Van
To,Naar
Priority,Prioriteit
Seller Group,verkoper Group
Store View,Store View
General Infomration,General infomration
Preview,Voorbeeld
Manage Seller Groups,Beheer Verkoper Groepen
Add New Seller Group,Voeg Nieuwe Verkoper Group
Save Group,Save Group
Delete Group,Delete Group
Edit Group '%1',Groep bewerken '% 1'
New Group,Nieuwe groep
Group Information,Group Information
Group Name,Groepsnaam
URL Key,URL Key
Empty to auto create url key,Leeg om auto te creëren url sleutel
Page Status,pagina Status
Option Data,Option gegevens
Limit Product,Limit Product
Can Add New Product,Kan Nieuw product toevoegen
Can Cancel Order,Kan Bestelling annuleren
Can Create Invoice,Kan Factuur aanmaken
Can Create Shipment,Kan Zending maken
Can Create Credit Memo,Kan Maak Creditnota
Hide Payment Information,Verbergen Betalingsinformatie
The payment information of customer will be hidden from order.,De betaalgegevens van de klant wordt verborgen orde.
Can submit comments,Kan opmerkingen te maken
Can Use Group,Kan gebruik maken van Group
Can Use Shipping,Can voorwaarden Verzenden
Can Use Review,Can via Review
Can Use Rating,Kan gebruik maken van Rating
Can Import/Export Product,Can Import / Export Product
Can Use Vacation,Kan gebruiken Vacation
Can Use Report,Kan gebruik maken van Report
Can Use Withdrawal,Kan gebruik maken van Terugtrekking
Advanced Options,Geavanceerde mogelijkheden
Message Seller,bericht van de verkoper
Add New Message,Nieuw bericht Toevoegen
Save Message,Bericht opslaan
Delete Message,Verwijder bericht
Edit Message '%1',Bericht bewerken '% 1'
New Message,Nieuw bericht
Message Information,bericht Informatie
Subject,Onderwerpen
Message,Bericht
added %1 (%2),toegevoegd 1% (2%)
Can Use Message,Kan gebruik maken van Message
Manage Payments Method,Betalingsbeheer Method
Add New Payment,Voeg nieuwe betaalkaarten
Save Payment,Betaling Save
Delete Payment,Delete Payment
Edit Payment '%1',Betaling bewerken '% 1'
New Payment,New Payment
Payment Information,betalingsinformatie
Name,Naam
Fee By,fee Door
Fixed Fee,Vaste vergoeding
Percent Fee,percent Fee
All,Allemaal
Min Amount,min Bedrag
Max Amount,Max Bedrag
Order Payment,bestellen Betalen
Note Message,Note Message
Manage Products,Manage producten
Add New Product,Nieuw product toevoegen
Manage Ratings,Beheer Ratings
Add New Rating,Voeg Nieuwe Rating
Save Rating,Save Rating
Delete Rating,Delete Rating
Edit Rating '%1',Oordeel bewerken: '% 1'
New Rating,nieuwe Rating
Rating Information,Rating Information
Email,E-mail
Detail,Detail
Seller Id,verkoper Id
Rate 1,rate 1
Rate 2,rate 2
Rate 3,rate 3
Manage Sellers,Beheer Verkopers
Add New Seller,Voeg Nieuwe Verkoper
Save Seller,Save Verkoper
Delete Seller,Delete Verkoper
Edit Seller '%1',Bewerken Verkoper '% 1'
New Seller,nieuwe Verkoper
Page Layout,Pagina layout
Layout,lay-out
Layout Update XML,Layout bijwerken XML
Design,Ontwerp
Seller Information,verkoper Informatie
Seller Name,Naam van de verkoper
Link Seller,Link Verkoper
Contact Number,Contact nummer
Shop Title,Shop Titel
Customer,Klant
Company Banner,Company Banner
Company Logo,Bedrijfslogo
Company Locality,bedrijf Plaats
Company Description,bedrijfsomschrijving
Return Policy,TERUGSTUURBELEID
Shipping Policy,verzendingsovereenkomst
Address,Adres
Country,land
Position,Positie
Meta Data,meta data
Page Title,Pagina titel
Keywords,trefwoorden
Meta Keywords,meta Trefwoorden
Meta Description,Meta omschrijving
ID,ID kaart
Type,Type
Attribute Set,attribute Set
Visibility,Zichtbaarheid
SKU,SKU
Price,Prijs
Social Infomation,social Infomation
Twitter Active,Twitter Active
Twitter,tjilpen
Facebook Active,Facebook Active
Page Facebook Id,Pagina Facebook Id
Facebook,Facebook
Google Plus Active,Google Plus Active
Google Plus,Google Plus
Youtube Active,Youtube Actief
Youtube,Youtube
Vimeo Active,Vimeo Active
Vimeo,Vimeo
Linkedin Active,Linkedin Active
Linkedin,Linkedin
Instagram Active,Instagram Active
Instagram,Instagram
Pinterest Active,Pinterest Active
Pinterest,Pinterest
Social Information,sociale Inlichtingen-
Products,producten
WYSIWYG Editor,WYSIWYG-editor
Manage Withdrawals Method,Intrekking beheren Methode
Add New Withdrawal,Voeg Nieuwe Intrekking
Save Withdrawal,Save Intrekking
Edit Withdrawal '%1',Bewerk Intrekking '% 1'
New Withdrawal,nieuwe Intrekking
Withdrawal Information,intrekking Informatie
Fee,Vergoeding
Order Withdrawal,Bestel Intrekking
Export,Exporteren
Export Settings,export-instellingen
Entity Type,entiteit Type
Export File Format,Export File Format
Fields Enclosure,Fields Enclosure
We can't filter an attribute with no attribute options.,We kunnen een attribuut zonder attribuut opties niet filteren.
Exclude,Uitsluiten
Attribute Label,Kenmerk Label
Attribute Code,attribute Code
Filter,Filter
Unknown attribute filter type,Onbekend kenmerk filtertype
Home,Huis
Go to Home Page,Ga naar homepagina
Create New Product,Product maken
Create New Attribute,Create New Attribute
Export Product,export Product
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
Import Product,import Product
Add Product,Product toevoegen
label,etiket
Advanced Report,advanced Report
Amount Transaction,transactiebedrag
Invoice,Factuur
 [deleted], [Geschrapt]
View Invoice,Bekijk factuur
Order,Bestellen
View Order,Bestelling bekijken
Custom Value,Custom Value
View Shipment,Bekijk Zending
Become a Seller,Word Verkoper
Dashboard,Dashboard
Edit Profile,Bewerk profiel
Seller Login,verkoper Inloggen
Error!,Fout!
Info,info
Success,Succes
Alert,alarm
Order # %1 %2 | %3,Bestel #% 1% 2 | % 3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Deze order bevat (1%) items en kan daarom niet worden bewerkt via de beheerinterface. Als u verder wilt gaan bewerken, zal de (% 2) items worden verwijderd, wordt de bestelling geannuleerd en een nieuwe bestelling wordt geplaatst."
Are you sure? This order will be canceled and a new one will be created instead.,Weet je het zeker? Deze bestelling geannuleerd en een nieuwe zal in plaats daarvan worden gemaakt.
Payment,Betaling
Save,Opslaan
Save & Draft,Concept opslaan
Save & New,Save & Nieuw
Save & Duplicate,Save & Duplicate
Save & Close,Opslaan en sluiten
Url,url
Preview Image,Voorbeeld Afbeelding
Get Video Information,Get Video Informatie
Hide from Product Page,Verbergen van Product Page
Role,Rol
YouTube and Vimeo supported.,YouTube en Vimeo ondersteund.
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.","Vimeo ondersteund. <br /> te voegen YouTube-video, neem dan eerst voer YouTube API Key."
Weight,Gewicht
Create New Seller Account,Maak nieuwe Verkopersaccount
Review,Beoordeling
Sell On Marketplace ,Verkopen op Marketplace
Vacation Settings,vakantie-instellingen
Pending,In afwachting
Completed,Voltooid
Cancel,annuleren
Withdrawals,onttrekkingen
Amounts,bedragen
Manage Seller Amount,Beheer Verkoper Bedrag
Manage Amount Transaction,Beheer transactiebedrag
The seller has been deleted.,De verkoper is verwijderd.
We can't find a seller to delete.,We kunnen niet vinden van een verkoper om te verwijderen.
Seller,Verkoper
This seller no longer exits. ,Deze verkoper niet meer uitgangen.
Edit Seller,bewerken Verkoper
Sellers,verkopers
Commissions,commissies
A total of %1 record(s) have been deleted.,Totaal% 1 record (s) zijn verwijderd.
A total of %1 record(s) have been disabled.,Totaal% 1 record (s) zijn uitgeschakeld.
A total of %1 record(s) have been enabled.,Totaal% 1 record (s) zijn ingeschakeld.
You saved this commission.,Je bewaarde deze commissie.
Something went wrong while saving the commission.,Er is iets misgegaan bij het opslaan van de commissie.
Seller Groups,verkoper Groepen
Groups,groepen
Manage Groups,Groepen beheren
Please correct the data sent.,Corrigeer de gegevens verzonden.
