Become A Seller,Trở thành một người bán
Manage Commissions,quản lý hoa hồng
Add New Commission,Thêm Ủy ban mới
Save Commission,Lưu Ủy ban
Save and Continue Edit,Lưu và Tiếp tục Sửa
Delete Commission,Ủy ban Xóa
Edit Commission '%1',Sửa Ủy ban '% 1'
New Commission,Ủy ban mới
Calculate Commission Using The Following Information,Ủy ban Tính Sử dụng Các thông tin sau
Commission By,Ủy ban Bằng
Fixed Amount,Số tiền cố định
Percent Of Product Price,Phần trăm sản phẩm Giá
Calculate Commission Based On,Tính toán hoa hồng dựa trên
Product Price (Incl. Tax),Giá sản phẩm (Incl. Thuế)
Product Price (Excl. Tax),Giá sản phẩm (excl. Thuế)
Product Price After Discount (Incl. Tax),Giá sản phẩm Sau khi chiết khấu (. Thuế Incl)
Product Price After Discount (Excl. Tax),Giá sản phẩm Sau khi chiết khấu (. Thuế excl)
Commission,Uỷ ban
Discard subsequent rules,quy tắc tiếp theo Huỷ
Yes,Đúng
No,Không
Actions,Hoạt động
Conditions (don't add conditions if rule is applied to all products),Điều kiện (không thêm điều kiện nếu quy tắc được áp dụng cho tất cả các sản phẩm)
Apply To,Nộp đơn
Conditions,Điều kiện
Commission Information,Thông tin Ủy ban
Title,Tiêu đề
Description,Sự miêu tả
Status,Trạng thái
From,Từ
To,Đến
Priority,Sự ưu tiên
Seller Group,bán Nhóm
Store View,cửa hàng Xem
General Infomration,chung Infomration
Preview,Xem trước
Manage Seller Groups,Quản lý bán Groups
Add New Seller Group,Add New Seller Nhóm
Save Group,Lưu Nhóm
Delete Group,Xóa Nhóm
Edit Group '%1',Chỉnh sửa nhóm '% 1'
New Group,Nhóm mới
Group Information,Thông tin nhóm
Group Name,Tên nhóm
URL Key,chính URL
Empty to auto create url key,Trống để tự động tạo khoá url
Page Status,Tình trạng trang
Option Data,Lựa chọn dữ liệu
Limit Product,Giới hạn sản phẩm
Can Add New Product,Có thể Thêm sản phẩm mới
Can Cancel Order,Có thể Hủy bỏ theo thứ tự
Can Create Invoice,Có thể Tạo Hóa Đơn
Can Create Shipment,Có thể Tạo Lô hàng
Can Create Credit Memo,Có thể Tạo Memo tín dụng
Hide Payment Information,Thông tin thanh toán Ẩn
The payment information of customer will be hidden from order.,Các thông tin thanh toán của khách hàng sẽ được ẩn từ trật tự.
Can submit comments,Có thể gửi ý kiến
Can Use Group,Thể sử dụng Group
Can Use Shipping,Có thể sử dụng Vận Chuyển
Can Use Review,Có thể sử dụng giá
Can Use Rating,Có thể sử dụng Đánh giá
Can Import/Export Product,Cần nhập khẩu sản phẩm /
Can Use Vacation,Có thể sử dụng nghỉ
Can Use Report,Báo cáo sử dụng có thể
Can Use Withdrawal,Có thể sử dụng Rút
Advanced Options,Advanced Options
Message Seller,tin nhắn của người bán
Add New Message,Add New nhắn
Save Message,Lưu tin nhắn
Delete Message,Xóa tin nhắn
Edit Message '%1',Chỉnh sửa tin nhắn '% 1'
New Message,Tin nhắn mới
Message Information,Thông tin nhắn
Subject,Môn học
Message,Thông điệp
added %1 (%2),đã thêm% 1 (% 2)
Can Use Message,Có thể sử dụng tin nhắn
Manage Payments Method,Quản lý thanh toán Phương pháp
Add New Payment,Thêm thanh toán mới
Save Payment,Lưu Thanh toán
Delete Payment,Thanh toán Xóa
Edit Payment '%1',Chỉnh sửa thanh toán '% 1'
New Payment,Thanh toán mới
Payment Information,Thông tin thanh toán
Name,Tên
Fee By,phí Bằng
Fixed Fee,Phí cố định
Percent Fee,Phí phần trăm
All,Tất cả
Min Amount,min Amount
Max Amount,Max Số tiền
